品种类型,交易所代码,交易所名称,品种代码,品种名称,合约行数,优先级,合约月份规则,合约数量规则,合约数量规则标准化代码,到期日规则,最后交易日规则,是否节假日顺延,行权方式,交割方式,规则来源,核验状态,备注
OPTION,DCE,大连商品交易所,M,豆粕期权,274,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,DCE,大连商品交易所,M,豆粕系列期权,60,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,DCE,大连商品交易所,P,棕榈油期权,750,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,DCE,大连商品交易所,Y,豆油期权,422,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,INE,上海国际能源交易中心,NR,20号胶期权,112,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,INE,上海国际能源交易中心,SC,原油期权,4814,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,AG,白银期权,3615,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,AL,铝期权,761,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,AU,黄金期权,1464,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,CU,铜期权,651,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,FU,燃料油期权,820,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,NI,镍期权,495,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,PB,铅期权,312,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,RB,螺纹钢期权,269,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,RU,天然橡胶期权,336,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,SN,锡期权,597,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,ZN,锌期权,450,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,T,CFFEX年期国债期货,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,T,T,46,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,T,年期国债期货下季连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,T,年期国债期货当季连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,T,年期国债期货隔季连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,TF,CFFEX年期国债期货,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,TF,TF,53,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,TF,年期国债期货下季连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
